Duration,Year,Col1,Val1,Col2,Val2
57,2015,App,Volume,Tools,Calculate Volume
94,2018,App,Measure,Tools,New Point
13,2012,App,Checks,Tools,Point to Line
40,2017,App,Checks,Tools,Radial
47,2012,App,Volume,Tools,Merge Surfaces
33,2020,App,Checks,Tools,Point to Line
67,2020,App,Checks,Tools,Radial
17,2012,App,Checks,Tools,Point to Line
120,2016,App,Volume,Tools,Calculate Volume
19,2017,App,Checks,Tools,Point to Line
33,2012,App,Stakeout,Tools,New Point
70,2018,App,Volume,Tools,Merge Surfaces
22,2015,App,Checks,Tools,Radial
60,2015,App,Stakeout,Tools,Divide and Offset
81,2017,App,Stakeout,Tools,Stake Elevation
82,2012,App,Stakeout,Tools,Divide and Offset
10,2012,App,Checks,Tools,Point to Line
50,2012,App,Volume,Tools,Calculate Volume
28,2020,App,Measure,Tools,Reference
120,2018,App,Volume,Tools,Calculate Volume
15,2018,App,Measure,Tools,Reference
49,2019,App,Measure,Tools,New Point
115,2020,App,Stakeout,Tools,Stake Elevation
68,2017,App,Checks,Tools,Point to Line
41,2018,App,Volume,Sensor,iCR80
66,2019,App,Stakeout,Sensor,iCB70
84,2020,App,Stakeout,Sensor,iCB70
83,2018,App,Stakeout,Sensor,iCG60
59,2018,App,Measure,Sensor,iCR80
119,2019,App,Measure,Sensor,iCG60
69,2018,App,Stakeout,Sensor,iCR80
16,2019,App,Stakeout,Sensor,iCG60
61,2018,App,Volume,Sensor,iCR80
62,2018,App,Checks,Sensor,iCB70
63,2019,App,Checks,Sensor,iCR80
64,2018,App,Volume,Sensor,iCG60
65,2019,App,Volume,Sensor,iCB70
